郵便番号,住所,建物,種類
7630093,香川県 丸亀市 郡家町２５７１ - ７,サラームアークマンション,マンションV16
7630093,香川県 丸亀市 郡家町２６６９ - ２,レジデンスヤガミ,マンションV16
7630093,香川県 丸亀市 郡家町２８７１ - １,Ｆｏｒｅｖｅｒ２０,マンション ギガ
7630093,香川県 丸亀市 郡家町３４４４,新居ハイツ,マンションV16
7630014,香川県 丸亀市 御供所町２ - １ - ３,近藤マンション,マンションV16
7630014,香川県 丸亀市 御供所町２ - １３ - ５,オメガ２８,マンションV16
7630004,該当なし
7630048,該当なし
7630094,香川県 丸亀市 三条町１５２１ - １,セリシール三条,マンションV16
7630065,香川県 丸亀市 塩屋町５ - ４ - ３,ダイアパレス丸亀,マンションV16
7630027,該当なし
7630030,該当なし
7630013,香川県 丸亀市 城東町３ - ９ - １７,サンハイツ城東,マンションV16
7630031,該当なし
7630032,香川県 丸亀市 城西町２ - ４ - ２８,ロイヤルガーデン城西,マンションV16
7630061,該当なし
7630024,香川県 丸亀市 塩飽町２３ - １,ロイヤルガーデン丸亀駅前,マンションV16
7630055,該当なし
7630063,該当なし
7630045,香川県 丸亀市 新町４ - ２４,グランコーポ丸亀,マンションG16
7630007,該当なし
7630071,香川県 丸亀市 田村町４８９ - １,サーパス田村町,マンションV16
7630071,香川県 丸亀市 田村町８０８ - １,グランビアタムラ Ｃ棟,マンションV16
7630095,該当なし
7630052,香川県 丸亀市 津森町１４０ - ２,アルファステイツ丸亀城西,マンションV16
7630111,該当なし
7630066,該当なし
7630043,該当なし
7630021,該当なし
7630012,香川県 丸亀市 土居町１ - １７ - １,ベルメール土居,マンションV16
7630012,香川県 丸亀市 土居町２ - １１ - ３８,ロイヤルガーデン城東第２,マンションV16
7630082,香川県 丸亀市 土器町東１ - １１８,青山コーポＡ,マンションV16
7630082,香川県 丸亀市 土器町東１ - １１８,青山コーポＢ,マンションV16
7630082,香川県 丸亀市 土器町東１ - ７８８,大崎マンション,マンションV16
7630082,香川県 丸亀市 土器町東６ - ３５,サファイア２８,マンションG16
7630082,香川県 丸亀市 土器町東７ - １６４,サーパス土器公園 １棟,マンションV16
7630082,香川県 丸亀市 土器町東９ - １３５ - ２,大麻学園学生寮土器,マンションG16
7630081,香川県 丸亀市 土器町西５ - ９２,ロイヤルガーデン城東,マンションV16
7630081,香川県 丸亀市 土器町西７ - ６２,平成ハイツ ３号館,マンションV16
7630081,香川県 丸亀市 土器町西７ - ６３,平成ハイツ ２号館,マンションV16
7630081,香川県 丸亀市 土器町西７ - ６５,平成ハイツ １号館,マンションV16
7630081,香川県 丸亀市 土器町西７ - ６６,平成ハイツ ５号館,マンションV16
7630083,該当なし
7630054,香川県 丸亀市 中津町１３０１ - ２,サーパス中津,マンションV16
7630033,香川県 丸亀市 中府町１ - ５ - ５３,アイランドグレース城南,マンションV16
7630033,香川県 丸亀市 中府町２ - ６ - １２,アルファステイツ中府２,マンションV16
7630033,香川県 丸亀市 中府町２ - ８ - ２７,ロイヤルガーデン城西第２,マンションG16
7630033,香川県 丸亀市 中府町３ - ５ - １７,ベルメール中府,マンションG16
7630033,香川県 丸亀市 中府町３ - ５ - ２１,アルファステイツ中府,マンションV16
7630046,該当なし
7630041,香川県 丸亀市 西平山町２９０ - ２,マリオン城北,マンションV16
7630047,香川県 丸亀市 西本町２ - ２ - ２０,マリオン城乾マンション,マンションV16
7630028,該当なし
7630022,該当なし
7630075,該当なし
7630074,香川県 丸亀市 原田町１９１８ - ２,サントノーレ丸亀南,マンションV16
7630074,香川県 丸亀市 原田町２２４２,ベルメール原田町,マンションG16
7620084,該当なし
7620082,該当なし
7620086,該当なし
7620083,該当なし
7620087,該当なし
7620085,該当なし
7620081,該当なし
7630105,該当なし
7630106,該当なし
7630102,該当なし
7630108,該当なし
7630103,該当なし
